"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.72982900332676,
"AUT","GGNLEND","TOT","PC_GDP","A","2015",-1.04555919062198,
"AUT","GGNLEND","TOT","PC_GDP","A","2016",-1.59143476257874,
"AUT","GGNLEND","TOT","PC_GDP","A","2017",-0.701233569594889,
"BEL","GGNLEND","TOT","PC_GDP","A","2000",-0.071914863954272,
"BEL","GGNLEND","TOT","PC_GDP","A","2001",0.171903664719754,
"BEL","GGNLEND","TOT","PC_GDP","A","2002",0.045298367550082,
"BEL","GGNLEND","TOT","PC_GDP","A","2003",-1.76102520375111,
"BEL","GGNLEND","TOT","PC_GDP","A","2004",-0.156874140472993,
"BEL","GGNLEND","TOT","PC_GDP","A","2005",-2.76119747990887,
"BEL","GGNLEND","TOT","PC_GDP","A","2006",0.219339800974769,
"BEL","GGNLEND","TOT","PC_GDP","A","2007",0.065474852231932,
"BEL","GGNLEND","TOT","PC_GDP","A","2008",-1.10324095034286,
"BEL","GGNLEND","TOT","PC_GDP","A","2009",-5.38306118078072,
"BEL","GGNLEND","TOT","PC_GDP","A","2010",-4.00139139771104,
"BEL","GGNLEND","TOT","PC_GDP","A","2011",-4.12860456288909,
"BEL","GGNLEND","TOT","PC_GDP","A","2012",-4.23468277814638,
"BEL","GGNLEND","TOT","PC_GDP","A","2013",-3.13763732356493,
"BEL","GGNLEND","TOT","PC_GDP","A","2014",-3.07895661176123,
"BEL","GGNLEND","TOT","PC_GDP","A","2015",-2.48014790154451,
"BEL","GGNLEND","TOT","PC_GDP","A","2016",-2.48016539005939,
"BEL","GGNLEND","TOT","PC_GDP","A","2017",-1.03141592657986,
"CAN","GGNLEND","TOT","PC_GDP","A","2000",2.6485422449609,
"CAN","GGNLEND","TOT","PC_GDP","A","2001",0.531343571488069,
"CAN","GGNLEND","TOT","PC_GDP","A","2002",-0.234729942864445,
"CAN","GGNLEND","TOT","PC_GDP","A","2003",-0.127407893210911,
"CAN","GGNLEND","TOT","PC_GDP","A","2004",0.770295182161965,
"CAN","GGNLEND","TOT","PC_GDP","A","2005",1.55812023474483,
"CAN","GGNLEND","TOT","PC_GDP","A","2006",1.83298965894142,
"CAN","GGNLEND","TOT","PC_GDP","A","2007",1.82443064392717,
"CAN","GGNLEND","TOT","PC_GDP","A","2008",0.18494509423609,
"CAN","GGNLEND","TOT","PC_GDP","A","2009",-3.89118042064229,
"CAN","GGNLEND","TOT","PC_GDP","A","2010",-4.74872603225981,
"CAN","GGNLEND","TOT","PC_GDP","A","2011",-3.31647570710783,
"CAN","GGNLEND","TOT","PC_GDP","A","2012",-2.53060113846329,
"CAN","GGNLEND","TOT","PC_GDP","A","2013",-1.87280207806882,
"CAN","GGNLEND","TOT","PC_GDP","A","2014",0.175009031832751,
"CAN","GGNLEND","TOT","PC_GDP","A","2015",-0.129679970685409,
"CAN","GGNLEND","TOT","PC_GDP","A","2016",-1.09687714013125,
"CAN","GGNLEND","TOT","PC_GDP","A","2017",-0.970390249930633,
"CZE","GGNLEND","TOT","PC_GDP","A","2000",-3.57452509946865,
"CZE","GGNLEND","TOT","PC_GDP","A","2001",-5.48497085047009,
"CZE","GGNLEND","TOT","PC_GDP","A","2002",-6.3562874117519,
"CZE","GGNLEND","TOT","PC_GDP","A","2003",-6.88454452099394,
"CZE","GGNLEND","TOT","PC_GDP","A","2004",-2.38126803298281,
"CZE","GGNLEND","TOT","PC_GDP","A","2005",-2.99133427322048,
"CZE","GGNLEND","TOT","PC_GDP","A","2006",-2.17151683643637,
"CZE","GGNLEND","TOT","PC_GDP","A","2007",-0.653521754675704,
"CZE","GGNLEND","TOT","PC_GDP","A","2008",-1.97968896033589,
"CZE","GGNLEND","TOT","PC_GDP","A","2009",-5.45009437949079,
"CZE","GGNLEND","TOT","PC_GDP","A","2010",-4.18974153456031,
"CZE","GGNLEND","TOT","PC_GDP","A","2011",-2.72440939025796,
"CZE","GGNLEND","TOT","PC_GDP","A","2012",-3.92993739765788,
"CZE","GGNLEND","TOT","PC_GDP","A","2013",-1.24761842480274,
"CZE","GGNLEND","TOT","PC_GDP","A","2014",-2.09933772838681,
"CZE","GGNLEND","TOT","PC_GDP","A","2015",-0.607709284794343,
"CZE","GGNLEND","TOT","PC_GDP","A","2016",0.725754414192456,
"CZE","GGNLEND","TOT","PC_GDP","A","2017",1.59871200379466,
"DNK","GGNLEND","TOT","PC_GDP","A","2000",1.88731430569623,
"DNK","GGNLEND","TOT","PC_GDP","A","2001",1.14055438978189,
"DNK","GGNLEND","TOT","PC_GDP","A","2002",-0.015387113540589,
"DNK","GGNLEND","TOT","PC_GDP","A","2003",-0.13314763657725,
"DNK","GGNLEND","TOT","PC_GDP","A","2004",2.0731725941749,
"DNK","GGNLEND","TOT","PC_GDP","A","2005",4.95503107219241,
"DNK","GGNLEND","TOT","PC_GDP","A","2006",4.98710068598195,
"DNK","GGNLEND","TOT","PC_GDP","A","2007",5.02045898283056,
"DNK","GGNLEND","TOT","PC_GDP","A","2008",3.17390797515362,
"DNK","GGNLEND","TOT","PC_GDP","A","2009",-2.79814161774022,
"DNK","GGNLEND","TOT","PC_GDP","A","2010",-2.71027087799281,
"DNK","GGNLEND","TOT","PC_GDP","A","2011",-2.05576618400805,
"DNK","GGNLEND","TOT","PC_GDP","A","2012",-3.49044486496584,
"DNK","GGNLEND","TOT","PC_GDP","A","2013",-1.23564720935162,
"DNK","GGNLEND","TOT","PC_GDP","A","2014",1.1444276473691,
"DNK","GGNLEND","TOT","PC_GDP","A","2015",-1.47101190464445,
"DNK","GGNLEND","TOT","PC_GDP","A","2016",-0.40876840909949,
"DNK","GGNLEND","TOT","PC_GDP","A","2017",1.00042189273669,
"FIN","GGNLEND","TOT","PC_GDP","A","2000",6.8552263670456,
"FIN","GGNLEND","TOT","PC_GDP","A","2001",4.98279526714069,
"FIN","GGNLEND","TOT","PC_GDP","A","2002",4.07110439749408,
"FIN","GGNLEND","TOT","PC_GDP","A","2003",2.44179218705672,
"FIN","GGNLEND","TOT","PC_GDP","A","2004",2.20978438511582,
"FIN","GGNLEND","TOT","PC_GDP","A","2005",2.59327075741999,
"FIN","GGNLEND","TOT","PC_GDP","A","2006",3.93131495707185,
"FIN","GGNLEND","TOT","PC_GDP","A","2007",5.1328088153325,
"FIN","GGNLEND","TOT","PC_GDP","A","2008",4.18045438823815,
"FIN","GGNLEND","TOT","PC_GDP","A","2009",-2.52832419115169,
"FIN","GGNLEND","TOT","PC_GDP","A","2010",-2.6098343132015,
"FIN","GGNLEND","TOT","PC_GDP","A","2011",-1.04434928810529,
"FIN","GGNLEND","TOT","PC_GDP","A","2012",-2.18325967376234,
"FIN","GGNLEND","TOT","PC_GDP","A","2013",-2.61387443566869,
"FIN","GGNLEND","TOT","PC_GDP","A","2014",-3.21062518858834,
"FIN","GGNLEND","TOT","PC_GDP","A","2015",-2.75853514245911,
"FIN","GGNLEND","TOT","PC_GDP","A","2016",-1.79216120645308,
"FIN","GGNLEND","TOT","PC_GDP","A","2017",-0.572203183579245,
"FRA","GGNLEND","TOT","PC_GDP","A","2000",-1.3124594779651,
"FRA","GGNLEND","TOT","PC_GDP","A","2001",-1.37353370938912,
"FRA","GGNLEND","TOT","PC_GDP","A","2002",-3.14754378052751,
"FRA","GGNLEND","TOT","PC_GDP","A","2003",-3.99893003582426,
"FRA","GGNLEND","TOT","PC_GDP","A","2004",-3.57642217493979,
"FRA","GGNLEND","TOT","PC_GDP","A","2005",-3.34405957636043,
"FRA","GGNLEND","TOT","PC_GDP","A","2006",-2.43693973938995,
"FRA","GGNLEND","TOT","PC_GDP","A","2007",-2.63045634665694,
"FRA","GGNLEND","TOT","PC_GDP","A","2008",-3.25806047548663,
"FRA","GGNLEND","TOT","PC_GDP","A","2009",-7.16517699432238,
"FRA","GGNLEND","TOT","PC_GDP","A","2010",-6.87572211094326,
"FRA","GGNLEND","TOT","PC_GDP","A","2011",-5.15247047031881,
"FRA","GGNLEND","TOT","PC_GDP","A","2012",-4.9854594957471,
"FRA","GGNLEND","TOT","PC_GDP","A","2013",-4.08782672168286,
"FRA","GGNLEND","TOT","PC_GDP","A","2014",-3.9085792618675,
"FRA","GGNLEND","TOT","PC_GDP","A","2015",-3.6320954424829,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2016",-3.40708264370482,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2017",-2.59402527449037,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","2000",0.858926141517992,
"DEU","GGNLEND","TOT","PC_GDP","A","2001",-3.11159024703535,
"DEU","GGNLEND","TOT","PC_GDP","A","2002",-3.9442083203201,
"DEU","GGNLEND","TOT","PC_GDP","A","2003",-4.17561529314259,
"DEU","GGNLEND","TOT","PC_GDP","A","2004",-3.740784455347,
"DEU","GGNLEND","TOT","PC_GDP","A","2005",-3.41693975296194,
"DEU","GGNLEND","TOT","PC_GDP","A","2006",-1.72150840906717,
"DEU","GGNLEND","TOT","PC_GDP","A","2007",0.18724907787986,
"DEU","GGNLEND","TOT","PC_GDP","A","2008",-0.176871969833004,
"DEU","GGNLEND","TOT","PC_GDP","A","2009",-3.23499764254475,
"DEU","GGNLEND","TOT","PC_GDP","A","2010",-4.22098710882693,
"DEU","GGNLEND","TOT","PC_GDP","A","2011",-0.956783272662701,
"DEU","GGNLEND","TOT","PC_GDP","A","2012",-0.033680653745477,
"DEU","GGNLEND","TOT","PC_GDP","A","2013",-0.140363168025362,
"DEU","GGNLEND","TOT","PC_GDP","A","2014",0.528803363717276,
"DEU","GGNLEND","TOT","PC_GDP","A","2015",0.835575706799402,
"DEU","GGNLEND","TOT","PC_GDP","A","2016",1.0134698875654,
"DEU","GGNLEND","TOT","PC_GDP","A","2017",1.26296597055173,
"GRC","GGNLEND","TOT","PC_GDP","A","2000",-4.06308720049148,
"GRC","GGNLEND","TOT","PC_GDP","A","2001",-5.46605574492258,
"GRC","GGNLEND","TOT","PC_GDP","A","2002",-6.02407559052943,
"GRC","GGNLEND","TOT","PC_GDP","A","2003",-7.83042345221338,
"GRC","GGNLEND","TOT","PC_GDP","A","2004",-8.82787977070417,
"GRC","GGNLEND","TOT","PC_GDP","A","2005",-6.18794265451324,
"GRC","GGNLEND","TOT","PC_GDP","A","2006",-5.94597758004825,
"GRC","GGNLEND","TOT","PC_GDP","A","2007",-6.70707463437705,
"GRC","GGNLEND","TOT","PC_GDP","A","2008",-10.1760239361008,
"GRC","GGNLEND","TOT","PC_GDP","A","2009",-15.1413997680423,
"GRC","GGNLEND","TOT","PC_GDP","A","2010",-11.1971145223195,
"GRC","GGNLEND","TOT","PC_GDP","A","2011",-10.2787591094849,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2012",-8.86540457413795,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2013",-13.1549612290687,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2014",-3.61587781224945,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2015",-5.66609252726394,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2016",0.62801643112002,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2017",0.818070465162458,"E"
"HUN","GGNLEND","TOT","PC_GDP","A","2000",-3.02665738032613,
"HUN","GGNLEND","TOT","PC_GDP","A","2001",-4.04899522891493,
"HUN","GGNLEND","TOT","PC_GDP","A","2002",-8.82655182485096,
"HUN","GGNLEND","TOT","PC_GDP","A","2003",-7.11620165779487,
"HUN","GGNLEND","TOT","PC_GDP","A","2004",-6.53544033319386,
"HUN","GGNLEND","TOT","PC_GDP","A","2005",-7.7709544554315,
"HUN","GGNLEND","TOT","PC_GDP","A","2006",-9.27291910522824,
"HUN","GGNLEND","TOT","PC_GDP","A","2007",-5.02470111814489,
"HUN","GGNLEND","TOT","PC_GDP","A","2008",-3.68095395870283,
"HUN","GGNLEND","TOT","PC_GDP","A","2009",-4.53878135695051,
"HUN","GGNLEND","TOT","PC_GDP","A","2010",-4.47419629578382,
"HUN","GGNLEND","TOT","PC_GDP","A","2011",-5.41410830859266,
"HUN","GGNLEND","TOT","PC_GDP","A","2012",-2.39935187941627,
"HUN","GGNLEND","TOT","PC_GDP","A","2013",-2.61675037227564,
"HUN","GGNLEND","TOT","PC_GDP","A","2014",-2.59872913092969,
"HUN","GGNLEND","TOT","PC_GDP","A","2015",-1.90593300161315,
"HUN","GGNLEND","TOT","PC_GDP","A","2016",-1.66412703216685,
"HUN","GGNLEND","TOT","PC_GDP","A","2017",-1.95457062500376,
"ISL","GGNLEND","TOT","PC_GDP","A","2000",1.2335766915434,
"ISL","GGNLEND","TOT","PC_GDP","A","2001",-0.975029243451369,
"ISL","GGNLEND","TOT","PC_GDP","A","2002",-2.79451534228269,
"ISL","GGNLEND","TOT","PC_GDP","A","2003",-3.12463195359301,
"ISL","GGNLEND","TOT","PC_GDP","A","2004",-0.32535486083763,
"ISL","GGNLEND","TOT","PC_GDP","A","2005",4.47820594554372,
"ISL","GGNLEND","TOT","PC_GDP","A","2006",5.8635062686215,
"ISL","GGNLEND","TOT","PC_GDP","A","2007",4.91124462174971,
"ISL","GGNLEND","TOT","PC_GDP","A","2008",-13.0299833493049,
"ISL","GGNLEND","TOT","PC_GDP","A","2009",-9.63692130473557,
"ISL","GGNLEND","TOT","PC_GDP","A","2010",-9.72057373224502,
"ISL","GGNLEND","TOT","PC_GDP","A","2011",-5.56327450069775,
"ISL","GGNLEND","TOT","PC_GDP","A","2012",-3.71769845037626,
"ISL","GGNLEND","TOT","PC_GDP","A","2013",-1.83177952095309,
"ISL","GGNLEND","TOT","PC_GDP","A","2014",-0.074063267332838,
"ISL","GGNLEND","TOT","PC_GDP","A","2015",-0.812521870288309,
"ISL","GGNLEND","TOT","PC_GDP","A","2016",12.5710105425953,
"ISL","GGNLEND","TOT","PC_GDP","A","2017",1.51337402563256,
"IRL","GGNLEND","TOT","PC_GDP","A","2000",4.86682077729108,
"IRL","GGNLEND","TOT","PC_GDP","A","2001",0.969762218885883,
"IRL","GGNLEND","TOT","PC_GDP","A","2002",-0.492855123277773,
"IRL","GGNLEND","TOT","PC_GDP","A","2003",0.389669696209605,
"IRL","GGNLEND","TOT","PC_GDP","A","2004",1.34141625654095,
"IRL","GGNLEND","TOT","PC_GDP","A","2005",1.61656160073913,
"IRL","GGNLEND","TOT","PC_GDP","A","2006",2.82219480291886,
"IRL","GGNLEND","TOT","PC_GDP","A","2007",0.316665562890064,
"IRL","GGNLEND","TOT","PC_GDP","A","2008",-6.95546250224427,
"IRL","GGNLEND","TOT","PC_GDP","A","2009",-13.796242024399,
"IRL","GGNLEND","TOT","PC_GDP","A","2010",-32.0509657140556,
"IRL","GGNLEND","TOT","PC_GDP","A","2011",-12.7234423043861,
"IRL","GGNLEND","TOT","PC_GDP","A","2012",-8.03441513505866,
"IRL","GGNLEND","TOT","PC_GDP","A","2013",-6.10333054757927,
"IRL","GGNLEND","TOT","PC_GDP","A","2014",-3.63028842407281,
"IRL","GGNLEND","TOT","PC_GDP","A","2015",-1.88968804952789,
"IRL","GGNLEND","TOT","PC_GDP","A","2016",-0.516048541353449,
"IRL","GGNLEND","TOT","PC_GDP","A","2017",-0.342246757085606,
"ITA","GGNLEND","TOT","PC_GDP","A","2000",-2.43845894946066,
"ITA","GGNLEND","TOT","PC_GDP","A","2001",-3.39320444484068,
"ITA","GGNLEND","TOT","PC_GDP","A","2002",-2.99518306736647,
"ITA","GGNLEND","TOT","PC_GDP","A","2003",-3.33908675110893,
"ITA","GGNLEND","TOT","PC_GDP","A","2004",-3.49643083186276,
"ITA","GGNLEND","TOT","PC_GDP","A","2005",-4.10518582114624,
"ITA","GGNLEND","TOT","PC_GDP","A","2006",-3.52314737857299,
"ITA","GGNLEND","TOT","PC_GDP","A","2007",-1.46481863138461,
"ITA","GGNLEND","TOT","PC_GDP","A","2008",-2.63100688980454,
"ITA","GGNLEND","TOT","PC_GDP","A","2009",-5.24821278289617,
"ITA","GGNLEND","TOT","PC_GDP","A","2010",-4.21143592033603,
"ITA","GGNLEND","TOT","PC_GDP","A","2011",-3.67831234527512,
"ITA","GGNLEND","TOT","PC_GDP","A","2012",-2.91818145190034,
"ITA","GGNLEND","TOT","PC_GDP","A","2013",-2.92241220875669,
"ITA","GGNLEND","TOT","PC_GDP","A","2014",-2.98589146858556,
"ITA","GGNLEND","TOT","PC_GDP","A","2015",-2.5757246528744,
"ITA","GGNLEND","TOT","PC_GDP","A","2016",-2.47705446705939,
"ITA","GGNLEND","TOT","PC_GDP","A","2017",-2.31173614232388,
"JPN","GGNLEND","TOT","PC_GDP","A","2005",-4.41002738237332,
"JPN","GGNLEND","TOT","PC_GDP","A","2006",-2.97079200432281,
"JPN","GGNLEND","TOT","PC_GDP","A","2007",-2.7563335052386,
"JPN","GGNLEND","TOT","PC_GDP","A","2008",-4.11942639716836,
"JPN","GGNLEND","TOT","PC_GDP","A","2009",-9.77644580909947,
"JPN","GGNLEND","TOT","PC_GDP","A","2010",-9.14602644248401,
"JPN","GGNLEND","TOT","PC_GDP","A","2011",-9.08806013733991,
"JPN","GGNLEND","TOT","PC_GDP","A","2012",-8.30251585389605,
"JPN","GGNLEND","TOT","PC_GDP","A","2013",-7.64182523953864,
"JPN","GGNLEND","TOT","PC_GDP","A","2014",-5.38301068740319,
"JPN","GGNLEND","TOT","PC_GDP","A","2015",-3.55152336772899,
"JPN","GGNLEND","TOT","PC_GDP","A","2016",-3.42300004940144,
"KOR","GGNLEND","TOT","PC_GDP","A","2000",4.35863841787096,
"KOR","GGNLEND","TOT","PC_GDP","A","2001",2.96508874544459,
"KOR","GGNLEND","TOT","PC_GDP","A","2002",3.51456002574485,
"KOR","GGNLEND","TOT","PC_GDP","A","2003",-1.96383025452843,
"KOR","GGNLEND","TOT","PC_GDP","A","2004",0.231349705850156,
"KOR","GGNLEND","TOT","PC_GDP","A","2005",1.55166795988638,
"KOR","GGNLEND","TOT","PC_GDP","A","2006",2.33365691752826,
"KOR","GGNLEND","TOT","PC_GDP","A","2007",4.23612457055198,
"KOR","GGNLEND","TOT","PC_GDP","A","2008",2.33807898326489,
"KOR","GGNLEND","TOT","PC_GDP","A","2009",-1.31678364946387,
"KOR","GGNLEND","TOT","PC_GDP","A","2010",0.973446781337034,
"KOR","GGNLEND","TOT","PC_GDP","A","2011",0.975147090714132,
"KOR","GGNLEND","TOT","PC_GDP","A","2012",1.01264163149375,
"KOR","GGNLEND","TOT","PC_GDP","A","2013",1.33575581130976,
"KOR","GGNLEND","TOT","PC_GDP","A","2014",1.26894977946332,
"KOR","GGNLEND","TOT","PC_GDP","A","2015",1.28163759916973,
"KOR","GGNLEND","TOT","PC_GDP","A","2016",2.11159067016042,
"LUX","GGNLEND","TOT","PC_GDP","A","2000",5.88840646291833,
"LUX","GGNLEND","TOT","PC_GDP","A","2001",5.90940709562977,
"LUX","GGNLEND","TOT","PC_GDP","A","2002",2.4408330504384,
"LUX","GGNLEND","TOT","PC_GDP","A","2003",0.185964527743655,
"LUX","GGNLEND","TOT","PC_GDP","A","2004",-1.28309737214184,
"LUX","GGNLEND","TOT","PC_GDP","A","2005",0.077619689494603,
"LUX","GGNLEND","TOT","PC_GDP","A","2006",1.93590684221058,
"LUX","GGNLEND","TOT","PC_GDP","A","2007",4.15120190174683,
"LUX","GGNLEND","TOT","PC_GDP","A","2008",3.3198717780764,
"LUX","GGNLEND","TOT","PC_GDP","A","2009",-0.674725529178424,
"LUX","GGNLEND","TOT","PC_GDP","A","2010",-0.658248886226059,
"LUX","GGNLEND","TOT","PC_GDP","A","2011",0.512850261762832,
"LUX","GGNLEND","TOT","PC_GDP","A","2012",0.344962078994435,
"LUX","GGNLEND","TOT","PC_GDP","A","2013",0.975437840702149,
"LUX","GGNLEND","TOT","PC_GDP","A","2014",1.32607806483465,
"LUX","GGNLEND","TOT","PC_GDP","A","2015",1.36262923998868,
"LUX","GGNLEND","TOT","PC_GDP","A","2016",1.61440875036603,
"LUX","GGNLEND","TOT","PC_GDP","A","2017",1.51544190699055,
"MEX","GGNLEND","TOT","PC_GDP","A","2003",-1.31360403760937,
"MEX","GGNLEND","TOT","PC_GDP","A","2004",-0.852535880078323,
"MEX","GGNLEND","TOT","PC_GDP","A","2005",-0.720344398183545,
"MEX","GGNLEND","TOT","PC_GDP","A","2006",-0.970873747503187,
"MEX","GGNLEND","TOT","PC_GDP","A","2007",-0.710617727732453,
"MEX","GGNLEND","TOT","PC_GDP","A","2008",-0.934753490701419,
"MEX","GGNLEND","TOT","PC_GDP","A","2009",-3.08037741707029,
"MEX","GGNLEND","TOT","PC_GDP","A","2010",-2.97038602847009,
"MEX","GGNLEND","TOT","PC_GDP","A","2011",-5.29623913170373,
"MEX","GGNLEND","TOT","PC_GDP","A","2012",-4.72294595312328,
"MEX","GGNLEND","TOT","PC_GDP","A","2013",-4.54574857716088,
"MEX","GGNLEND","TOT","PC_GDP","A","2014",-4.21242251834985,
"MEX","GGNLEND","TOT","PC_GDP","A","2015",-5.15993517883255,
"MEX","GGNLEND","TOT","PC_GDP","A","2016",-2.70095002715648,"E"
"NLD","GGNLEND","TOT","PC_GDP","A","2000",1.8792084113547,
"NLD","GGNLEND","TOT","PC_GDP","A","2001",-0.348230318693675,
"NLD","GGNLEND","TOT","PC_GDP","A","2002",-2.07947001118299,
"NLD","GGNLEND","TOT","PC_GDP","A","2003",-3.01635578116766,
"NLD","GGNLEND","TOT","PC_GDP","A","2004",-1.7227196295752,
"NLD","GGNLEND","TOT","PC_GDP","A","2005",-0.25604416349437,
"NLD","GGNLEND","TOT","PC_GDP","A","2006",0.210458346857455,
"NLD","GGNLEND","TOT","PC_GDP","A","2007",0.211648839029481,
"NLD","GGNLEND","TOT","PC_GDP","A","2008",0.223730097017506,
"NLD","GGNLEND","TOT","PC_GDP","A","2009",-5.4309032613272,
"NLD","GGNLEND","TOT","PC_GDP","A","2010",-4.9915124336513,
"NLD","GGNLEND","TOT","PC_GDP","A","2011",-4.2884984189545,
"NLD","GGNLEND","TOT","PC_GDP","A","2012",-3.88490368340453,
"NLD","GGNLEND","TOT","PC_GDP","A","2013",-2.37411681077537,
"NLD","GGNLEND","TOT","PC_GDP","A","2014",-2.26663931656933,
"NLD","GGNLEND","TOT","PC_GDP","A","2015",-2.05118976029216,
"NLD","GGNLEND","TOT","PC_GDP","A","2016",0.366189846593068,"E"
"NLD","GGNLEND","TOT","PC_GDP","A","2017",1.09306461820483,"E"
"NOR","GGNLEND","TOT","PC_GDP","A","2000",15.1021363683992,
"NOR","GGNLEND","TOT","PC_GDP","A","2001",13.1856690432287,
"NOR","GGNLEND","TOT","PC_GDP","A","2002",9.05048837282341,
"NOR","GGNLEND","TOT","PC_GDP","A","2003",7.24555804380429,
"NOR","GGNLEND","TOT","PC_GDP","A","2004",10.9231243206297,
"NOR","GGNLEND","TOT","PC_GDP","A","2005",14.8192858313616,
"NOR","GGNLEND","TOT","PC_GDP","A","2006",18.0207573470464,
"NOR","GGNLEND","TOT","PC_GDP","A","2007",17.1130816928439,
"NOR","GGNLEND","TOT","PC_GDP","A","2008",18.6713697103695,
"NOR","GGNLEND","TOT","PC_GDP","A","2009",10.3323546663003,
"NOR","GGNLEND","TOT","PC_GDP","A","2010",10.9938201183697,
"NOR","GGNLEND","TOT","PC_GDP","A","2011",13.4301110075811,
"NOR","GGNLEND","TOT","PC_GDP","A","2012",13.8313785391971,
"NOR","GGNLEND","TOT","PC_GDP","A","2013",10.7729448964828,
"NOR","GGNLEND","TOT","PC_GDP","A","2014",8.74824615902869,
"NOR","GGNLEND","TOT","PC_GDP","A","2015",6.05894713346136,
"NOR","GGNLEND","TOT","PC_GDP","A","2016",3.99405588393061,
"NOR","GGNLEND","TOT","PC_GDP","A","2017",4.44885180445105,
"POL","GGNLEND","TOT","PC_GDP","A","2000",-2.97094911342723,
"POL","GGNLEND","TOT","PC_GDP","A","2001",-4.78336457369092,
"POL","GGNLEND","TOT","PC_GDP","A","2002",-4.8456856373779,
"POL","GGNLEND","TOT","PC_GDP","A","2003",-6.07709857789652,
"POL","GGNLEND","TOT","PC_GDP","A","2004",-5.04382345438995,
"POL","GGNLEND","TOT","PC_GDP","A","2005",-3.96184429986633,
"POL","GGNLEND","TOT","PC_GDP","A","2006",-3.55731410026322,
"POL","GGNLEND","TOT","PC_GDP","A","2007",-1.85297300028208,
"POL","GGNLEND","TOT","PC_GDP","A","2008",-3.60011787858972,
"POL","GGNLEND","TOT","PC_GDP","A","2009",-7.25269055420169,
"POL","GGNLEND","TOT","PC_GDP","A","2010",-7.3421536596605,
"POL","GGNLEND","TOT","PC_GDP","A","2011",-4.82721735178935,
"POL","GGNLEND","TOT","PC_GDP","A","2012",-3.71173880356567,
"POL","GGNLEND","TOT","PC_GDP","A","2013",-4.11287377896608,
"POL","GGNLEND","TOT","PC_GDP","A","2014",-3.62480251708224,
"POL","GGNLEND","TOT","PC_GDP","A","2015",-2.64709412957266,
"POL","GGNLEND","TOT","PC_GDP","A","2016",-2.34827825929744,
"POL","GGNLEND","TOT","PC_GDP","A","2017",-1.66254641588634,
"PRT","GGNLEND","TOT","PC_GDP","A","2000",-3.21490059202684,
"PRT","GGNLEND","TOT","PC_GDP","A","2001",-4.78840437065472,
